year,table_id,output_csv,title,unit,raw_header
2014,1,2014_table-1.csv,Projected cumulative three-year impairment charge rates on UK lending in the stress scenario(a) (b),,UK household mortgage UK household non-mortgage UK commercial real estate / lending(c) lending lending
2014,2,2014_table-2.csv,Projected cumulative three-year impairment charges on UK lending in the stress scenario(a),,UK household mortgage UK household non-mortgage UK commercial real estate / lending(b) lending lending
2015,2A,2015_table-2A.csv,Projected cumulative five-year impairment charge rates on UK lending in the stress scenario(a)(b),Per cent,Mortgage lending Non-mortgage lending Commercial real Lending to businesses / to individuals to individuals estate lending excluding commercial / real estate
2015,2B,2015_table-2B.csv,Projected cumulative five-year impairment charges on UK lending in the stress scenario(a)(b),£ billions,Mortgage lending Non-mortgage lending Commercial real Lending to businesses / to individuals to individuals estate lending excluding commercial / real estate
2015,2C,2015_table-2C.csv,Projected cumulative three-year impairment charge rates on UK lending in the stress scenario(a)(b)(c)(d)(e),Per cent,Mortgage lending Non-mortgage lending Commercial real Lending to businesses / to individuals to individuals estate lending excluding commercial / real estate
2015,2D,2015_table-2D.csv,Projected cumulative three-year impairment charges on UK lending in the stress scenario(a)(b)(c)(d)(e),£ billions,Mortgage lending Non-mortgage lending Commercial real Lending to businesses / to individuals to individuals estate lending excluding commercial / real estate
2015,2E,2015_table-2E.csv,Projected cumulative five-year impairment charge rates Table 2F Projected cumulative five-year impairment charges on,,on Hong Kong and China lending in the stress scenario(a)(b) Hong Kong and China lending in the stress scenario(a)(b) / Per cent £ billions / Lending to individuals Lending to businesses Lending to individuals Lending to businesses
2015,2G,2015_table-2G.csv,Projected cumulative five-year impairment charge Table 2H Projected cumulative five-year impairment charges on,,rates on euro-area lending in the stress scenario(a)(b) euro-area lending in the stress scenario(a)(b) / Per cent £ billions / Lending to individuals Lending to businesses Lending to individuals Lending to businesses
2015,2I,2015_table-2I.csv,Projected traded risk losses in 2015 of the stress Table 2J Projected traded risk losses in 2015 of the stress,,scenario(a)(b) scenario as a percentage of traded risk RWAs at end-2014(a)(b) / £ billions Per cent
2016,2A,2016_table-2A.csv,Projected cumulative five-year impairment charge rates on UK lending in the stress scenario(a)(b),Per cent,Mortgage lending Non-mortgage lending Commercial real Lending to businesses / to individuals to individuals estate lending excluding commercial / real estate
2016,2B,2016_table-2B.csv,Projected cumulative five-year impairment charges on UK lending in the stress scenario(a)(b),£ billions,Mortgage lending Non-mortgage lending Commercial real Lending to businesses / to individuals to individuals estate lending excluding commercial / real estate
2016,2C,2016_table-2C.csv,Projected cumulative five-year impairment charge rates in the stress scenario(a)(b)(c),Per cent,Lending to individuals Lending to businesses / United Hong Kong United Euro area Rest of United Hong Kong United Euro area Rest of / Kingdom and States world Kingdom and States world / China China
2016,2D,2016_table-2D.csv,Projected cumulative five-year impairment charges in the stress scenario(a)(b)(c),£ billions,Lending to individuals Lending to businesses / United Hong Kong United Euro area Rest of United Hong Kong United Euro area Rest of / Kingdom and States world Kingdom and States world / China China
2016,2E,2016_table-2E.csv,Projected traded risk losses in 2016 of the stress Table 2F Projected traded risk losses in 2016 of the stress scenario,,scenario(a)(b)(c) as a percentage of traded risk RWAs as at end-2015(a)(b)(c)(d) / £ billions Per cent
2017,A5.A,2017_table-A5A.csv,Projected cumulative five-year impairment charge rates on UK lending in the stress scenario(a)(b),Per cent,Mortgage lending Non-mortgage lending Commercial real Lending to businesses / to individuals to individuals estate lending excluding commercial / real estate
2017,A5.B,2017_table-A5B.csv,Projected cumulative five-year impairment charges on UK lending in the stress scenario(a)(b),£ billions,Mortgage lending Non-mortgage lending Commercial real Lending to businesses / to individuals to individuals estate lending excluding commercial / real estate
2017,A5.C,2017_table-A5C.csv,Projected cumulative five-year impairment charge rates in the stress scenario(a)(b)(c),Per cent,Lending to individuals Lending to businesses / United Hong Kong United Euro area Rest of United Hong Kong United Euro area Rest of / Kingdom and States world Kingdom and States world / China China
2017,A5.D,2017_table-A5D.csv,Projected cumulative five-year impairment charges in the stress scenario(a)(b)(c),£ billions,Lending to individuals Lending to businesses / United Hong Kong United Euro area Rest of United Hong Kong United Euro area Rest of / Kingdom and States world Kingdom and States world / China China
2017,A5.E,2017_table-A5E.csv,Projected traded risk losses in 2017 of the stress Table A5.F Projected traded risk losses in 2017 of the stress,,scenario(a)(b)(c) scenario as percentage of traded risk RWAs as at end-2016(a)(b)(c)(d) / £ billions Per cent
