firm_name,acsyear,mort_prov_coverage,retail_prov_coverage,commercial_prov_coverage
Barclays,2016,,,0.003048
Barclays,2017,,,0.004086
Barclays,2018,,,0.00602
Barclays,2019,,,0.005272
Barclays,2020,,,0.006368
HSBC,2016,,,0.007994
HSBC,2017,,,0.006028
HSBC,2018,,,0.007093
HSBC,2019,,,0.008052
HSBC,2020,,,0.007794
Lloyds Banking Group,2016,,,0.013581
Lloyds Banking Group,2017,,,0.010635
Lloyds Banking Group,2018,,,0.007742
Lloyds Banking Group,2019,,,0.007809
Lloyds Banking Group,2020,,,0.005653
Nationwide,2017,,,0.001898
Nationwide,2018,,,0.001871
Nationwide,2019,,,0.003288
Nationwide,2020,,,0.003238
Santander UK,2016,,,0.002455
Santander UK,2017,,,0.002471
Santander UK,2018,,,0.002409
Santander UK,2019,,,0.002614
Santander UK,2020,,,0.002341
Standard Chartered,2017,,,0.002988
Standard Chartered,2018,,,0.001609
Standard Chartered,2019,,,0.005431
Standard Chartered,2020,,,0.001324
The Royal Bank of Scotland Group,2016,,,0.010347
The Royal Bank of Scotland Group,2017,,,0.006029
The Royal Bank of Scotland Group,2018,,,0.007
The Royal Bank of Scotland Group,2019,,,0.007619
The Royal Bank of Scotland Group,2020,,,0.007257
