firm_name,acsyear,product,allowance,gross_loans,coverage,basis,entity,currency,source_url,source_table,source_page,notes
Barclays,2017,mortgage,,,,IAS39,Barclays PLC (group segment),GBP,https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/Barclays-PLC-Annual-Report-2016-FINAL.pdf,Home loans / Credit cards principal portfolios (gross only),"FY2016 AR, PDF p176-p186","GAP: IAS 39 discloses UK gross by product (Barclays UK home loans 129,136m; UK cards 17,833 + UK personal loans 6,076) but impairment allowance only group-wide by asset class (home loans 467m incl. non-UK), never UK x product. UK coverage not computable."
Barclays,2017,unsecured_retail,,,,IAS39,Barclays PLC (group segment),GBP,https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/Barclays-PLC-Annual-Report-2016-FINAL.pdf,Credit cards / unsecured loans principal portfolios (gross only),"FY2016 AR, PDF p177-p186","GAP: UK unsecured gross partly available (cards+personal loans) but allowance only group-wide by asset class (cards/unsecured 3,060m incl. US cards, Partner Finance motor). Not computable."
Barclays,2018,mortgage,,,,IAS39,Barclays PLC (group segment),GBP,https://home.barclays/content/dam/home-barclays/documents/investor-relations/annualreports/ar2017/Barclays%20PLC%20Annual%20Report%202017.pdf,Home loans / Credit cards principal portfolios (gross only),"FY2017 AR, PDF p148-p156","GAP: as FY2016 — UK gross by product available (home loans 132,132m) but allowance only group-wide by asset class (home loans 458m incl. non-UK). UK coverage not computable."
Barclays,2018,unsecured_retail,,,,IAS39,Barclays PLC (group segment),GBP,https://home.barclays/content/dam/home-barclays/documents/investor-relations/annualreports/ar2017/Barclays%20PLC%20Annual%20Report%202017.pdf,Credit cards / unsecured loans principal portfolios (gross only),"FY2017 AR, PDF p149-p156","GAP: as FY2016 — allowance only group-wide by asset class (cards/unsecured 3,055m). UK unsecured coverage not computable."
Barclays,2019,mortgage,84,137208,0.000612,IFRS9,Barclays Bank UK PLC,GBP,https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2018/2018-barclays-bank-uk-plc-annual-report.pdf,Loans and advances at amortised cost by product - Barclays Bank UK Group (audited): Home loans,"printed p53 (PDF p55), 2018 Barclays Bank UK PLC AR","Home loans = UK residential mortgages. Ring-fenced Barclays Bank UK PLC (the catalogued group AR URL served Barclays Bank PLC, whose home loans are only 13.5bn - wrong entity). IFRS 9 ECL, all stages (Total column)."
Barclays,2019,unsecured_retail,2582,25208,0.102428,IFRS9,Barclays Bank UK PLC,GBP,https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2018/2018-barclays-bank-uk-plc-annual-report.pdf,"Loans and advances at amortised cost by product - Barclays Bank UK Group (audited): Credit cards, unsecured loans and other retail lending","printed p53 (PDF p55), 2018 Barclays Bank UK PLC AR","'Credit cards, unsecured loans and other retail lending' = UK cards + personal loans + overdrafts + other unsecured; no motor/auto in the ring-fenced bank. IFRS 9 ECL, all stages."
Barclays,2022,mortgage,89,158309,0.000562,IFRS9,Barclays Bank UK PLC,GBP,https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2021/Barclays-Bank-UK-PLC-2021-Annual-Report.pdf,Loans and advances at amortised cost by product - Barclays Bank UK Group (audited): Home loans,"printed p66 (PDF p67), 2021 Barclays Bank UK PLC AR","Home loans = UK residential mortgages. Ring-fenced Barclays Bank UK PLC (catalogued FY2021 link was a Q1-2021 Pillar 3 - wrong period). IFRS 9 ECL, all stages."
Barclays,2022,unsecured_retail,1664,15089,0.110279,IFRS9,Barclays Bank UK PLC,GBP,https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2021/Barclays-Bank-UK-PLC-2021-Annual-Report.pdf,"Loans and advances at amortised cost by product - Barclays Bank UK Group (audited): Credit cards, unsecured loans and other retail lending","printed p66 (PDF p67), 2021 Barclays Bank UK PLC AR","Unsecured = cards + personal loans + overdrafts + other; no motor. IFRS 9 ECL, all stages."
HSBC,2016,mortgage,117,79173,0.001478,IAS39,HSBC Bank plc (UK),GBP,https://www.hsbc.com/-/files/hsbc/investors/investing-in-hsbc/all-reporting/subsidiaries/2015/annual-results/hsbc-bank-plc/hsbc-bank-plc-annual-report-and-accounts-2015.pdf,Total personal lending (UK column): Residential mortgage lending,"printed p42 (PDF p44), 2015 HSBC Bank plc ARA","UK residential mortgages, UK column. HSBC Bank plc reports in GBP. IAS 39 allowance stock."
HSBC,2016,unsecured_retail,199,14032,0.014182,IAS39,HSBC Bank plc (UK),GBP,https://www.hsbc.com/-/files/hsbc/investors/investing-in-hsbc/all-reporting/subsidiaries/2015/annual-results/hsbc-bank-plc/hsbc-bank-plc-annual-report-and-accounts-2015.pdf,Total personal lending (UK column): Other personal lending,"printed p42 (PDF p44), 2015 HSBC Bank plc ARA","Other personal lending (UK) = personal loans & overdrafts (7,073/147) + credit cards (6,959/52); motor is nil in the UK column, so nothing to exclude. IAS 39."
