firm_name,acsyear,uk_mort_3yr_ic_pct,uk_retail_3yr_ic_pct,uk_cre_3yr_ic_pct,uk_mort_5yr_ic_pct,uk_retail_5yr_ic_pct,uk_cre_5yr_ic_pct,uk_bus_5yr_ic_pct
Barclays,2014,0.009000000000000001,0.223,0.05,,,,
HSBC,2014,0.006,0.07,0.065,,,,
Lloyds Banking Group,2014,0.038,0.177,0.161,,,,
Nationwide,2014,0.012,0.12,0.163,,,,
Santander UK,2014,0.024,0.153,0.054000000000000006,,,,
The Co-operative Bank,2014,0.035,0.20600000000000002,0.191,,,,
The Royal Bank of Scotland Group,2014,0.019,0.132,0.11199999999999999,,,,
Barclays,2015,0.003,0.16899999999999998,0.027000000000000003,0.002,0.24600000000000002,0.035,0.066
HSBC,2015,0.004,0.045,0.033,0.003,0.077,0.036000000000000004,0.021
Lloyds Banking Group,2015,0.011000000000000001,0.125,0.067,0.012,0.187,0.07200000000000001,0.053
Nationwide,2015,0.003,0.111,0.08800000000000001,0.003,0.174,0.092,
Santander UK,2015,0.006,0.079,0.053,0.006,0.111,0.063,0.06
Standard Chartered,2015,,,,,,,0.02
The Royal Bank of Scotland Group,2015,0.005,0.10800000000000001,0.051,0.004,0.141,0.053,0.046
Barclays,2016,,,,0.006999999999999999,0.253,0.055,0.065
HSBC,2016,,,,0.005,0.125,0.107,0.055999999999999994
Lloyds Banking Group,2016,,,,0.023,0.2,0.08199999999999999,0.077
Nationwide,2016,,,,0.006,0.213,0.102,
Santander UK,2016,,,,0.01,0.113,0.076,0.085
Standard Chartered,2016,,,,,,,0.078
The Royal Bank of Scotland Group,2016,,,,0.008,0.17,0.078,0.076
Barclays,2017,,,,0.009000000000000001,0.368,0.054000000000000006,0.081
HSBC,2017,,,,0.006,0.18,0.07200000000000001,0.087
Lloyds Banking Group,2017,,,,0.034,0.28800000000000003,0.075,0.10099999999999999
Nationwide,2017,,,,0.01,0.29100000000000004,0.081,
Santander UK,2017,,,,0.017,0.19899999999999998,0.073,0.10400000000000001
Standard Chartered,2017,,,,,,,0.076
The Royal Bank of Scotland Group,2017,,,,0.01,0.218,0.064,0.09
Barclays,2018,,,,0.009000000000000001,0.359,0.067,0.092
HSBC,2018,,,,0.006999999999999999,0.22399999999999998,0.059000000000000004,0.086
Lloyds Banking Group,2018,,,,0.034,0.27,0.07200000000000001,0.094
Nationwide,2018,,,,0.011000000000000001,0.27399999999999997,0.06,
Santander UK,2018,,,,0.015,0.20600000000000002,0.062,0.126
Standard Chartered,2018,,,,,,,0.034
The Royal Bank of Scotland Group,2018,,,,0.009000000000000001,0.225,0.062,0.087
Barclays,2019,,,,0.009000000000000001,0.353,0.07200000000000001,0.09300000000000001
HSBC,2019,,,,0.008,0.207,0.078,0.09300000000000001
Lloyds Banking Group,2019,,,,0.032,0.273,0.085,0.115
Nationwide,2019,,,,0.011000000000000001,0.249,,
Santander UK,2019,,,,0.013999999999999999,0.22699999999999998,0.067,0.125
Standard Chartered,2019,,,,,,,0.03
The Royal Bank of Scotland Group,2019,,,,0.009000000000000001,0.26899999999999996,0.062,0.098
