quarter,Real GDP,Quarterly real GDP growth,UK nominal GDP,Quarterly nominal GDP growth,Consumer Price Index,Annual CPI inflation,UK unemployment rate,Bank Rate,5-year nominal Gilt yields,10-year nominal Gilt yields,Sterling effective exchange rate ,UK residential property price index,UK commercial real estate price index - aggregate,Equity prices,Sterling HY corporate bond spreads,Sterling IG corporate bond spreads,Nominal wages,Real wages,period_kind,UK nominal GDP index
Q1 2000,312542.0,1.4,244820.0,1.5,92.4,0.9,5.8,5.9,6.1,5.4,102.4,46.3,,86.5,555.0,128.0,311.0,89.7,history,59.529396317162664
Q2 2000,315650.0,1.0,245063.0,0.1,93.1,0.5,5.5,6.0,5.7,5.1,101.2,47.1,,85.4,616.0,147.0,315.0,90.1,history,59.58848316997318
Q3 2000,316749.0,0.3,247743.0,1.1,93.1,0.9,5.3,6.0,5.6,5.2,99.5,47.3,,88.0,674.0,149.0,320.0,91.6,history,60.240140641299035
Q4 2000,317688.0,0.3,249513.0,0.7,93.6,0.9,5.2,6.0,5.3,5.0,100.3,47.9,,85.5,857.0,138.0,325.0,92.5,history,60.670526359301554
Q1 2001,320100.0,0.8,253485.0,1.6,93.1,0.8,5.1,5.9,5.0,4.7,98.3,49.2,,82.1,735.0,137.0,331.0,94.7,history,61.63634108919197
Q2 2001,322235.0,0.7,256273.0,1.1,94.5,1.5,5.0,5.4,5.1,5.0,99.4,50.7,,79.4,735.0,122.0,333.0,93.9,history,62.31425938398917
Q3 2001,323720.0,0.5,260713.0,1.7,94.5,1.5,5.1,5.0,5.1,5.0,99.4,52.5,,72.3,796.0,117.0,335.0,94.5,history,63.39387101558872
Q4 2001,324161.0,0.1,261261.0,0.2,94.6,1.1,5.2,4.2,4.7,4.7,99.8,54.1,,70.3,879.0,125.0,338.0,95.2,history,63.527120379128476
Q1 2002,325891.0,0.5,265442.0,1.6,94.6,1.6,5.2,4.0,5.0,5.0,100.3,56.3,,71.2,858.0,108.0,341.0,96.1,history,64.54375466555139
Q2 2002,328303.0,0.7,267898.0,0.9,95.4,1.0,5.2,4.0,5.2,5.1,99.3,59.4,,69.8,697.0,100.0,345.0,96.4,history,65.1409452437515
Q3 2002,331081.0,0.8,272297.0,1.6,95.5,1.1,5.2,4.0,4.6,4.7,100.5,63.2,,57.1,820.0,123.0,346.0,96.6,history,66.21058748866287
Q4 2002,334554.0,1.0,275828.0,1.3,96.0,1.5,5.1,4.0,4.4,4.6,101.0,67.5,,54.5,885.0,133.0,347.0,96.3,history,67.06917052271196
Q1 2003,336308.0,0.5,280163.0,1.6,96.0,1.5,5.1,3.8,4.0,4.3,98.3,70.4,,50.4,859.0,126.0,351.0,97.4,history,68.12325079815884
Q2 2003,340795.0,1.3,284608.0,1.6,96.6,1.3,5.0,3.8,3.9,4.3,95.8,72.4,,54.7,699.0,108.0,354.0,97.6,history,69.20407820862279
Q3 2003,345165.0,1.3,288819.0,1.5,96.8,1.4,5.1,3.5,4.3,4.6,95.7,75.0,,58.2,601.0,89.0,357.0,98.3,history,70.22800716823218
Q4 2003,349680.0,1.3,294934.0,2.1,97.3,1.4,4.9,3.6,4.8,4.9,97.4,78.4,,60.9,474.0,76.0,360.0,98.6,history,71.7149047194104
Q1 2004,351975.0,0.7,297249.0,0.8,97.2,1.3,4.8,3.9,4.6,4.7,101.6,82.5,,62.9,420.0,78.0,362.0,99.3,history,72.27781033363404
Q2 2004,353516.0,0.4,301827.0,1.5,98.0,1.4,4.8,4.2,5.0,5.0,102.3,87.0,,63.2,398.0,83.0,370.0,100.6,history,73.39097746189141
Q3 2004,353808.0,0.1,304776.0,1.0,98.0,1.2,4.7,4.7,5.0,4.9,102.1,89.5,,62.5,403.0,84.0,374.0,101.7,history,74.10804383612273
Q4 2004,356183.0,0.7,309116.0,1.4,98.7,1.4,4.7,4.8,4.6,4.6,100.3,90.0,,66.5,341.0,77.0,379.0,102.3,history,75.16333989043402
Q1 2005,358872.0,0.8,312082.0,1.0,98.9,1.7,4.7,4.8,4.6,4.6,100.7,90.7,,70.1,285.0,68.0,380.0,102.4,history,75.88453991280434
Q2 2005,363550.0,1.3,317621.0,1.8,99.9,1.9,4.8,4.8,4.3,4.4,101.6,91.1,,70.3,378.0,80.0,387.0,103.2,history,77.23137973880206
Q3 2005,367037.0,1.0,320631.0,0.9,100.4,2.4,4.8,4.6,4.2,4.2,99.7,91.9,,75.4,374.0,72.0,392.0,104.1,history,77.96327861517925
Q4 2005,371811.0,1.3,326409.0,1.8,100.8,2.1,5.1,4.5,4.3,4.2,99.5,93.5,,77.6,376.0,74.0,395.0,104.4,history,79.36823267089595
Q1 2006,373227.0,0.4,332361.0,1.8,100.8,1.9,5.3,4.5,4.2,4.1,98.8,95.4,,83.9,351.0,73.0,400.0,105.7,history,80.81549583109428
Q2 2006,374520.0,0.3,334826.0,0.7,102.1,2.2,5.5,4.5,4.6,4.6,100.2,97.3,,84.5,296.0,73.0,405.0,105.7,history,81.41487481125033
Q3 2006,375451.0,0.2,337819.0,0.9,102.8,2.4,5.5,4.7,4.7,4.5,102.2,99.0,,84.6,281.0,78.0,407.0,105.5,history,82.1426400394885
Q4 2006,378330.0,0.8,344477.0,2.0,103.6,2.7,5.5,4.9,4.8,4.5,103.7,102.4,,89.6,236.0,77.0,414.0,106.6,history,83.76157117534207
Q1 2007,382040.0,1.0,348558.0,1.2,103.7,2.9,5.5,5.2,5.0,4.8,104.6,105.2,,92.1,203.0,75.0,425.0,109.2,history,84.75388988447669
Q2 2007,386977.0,1.3,354519.0,1.7,104.8,2.6,5.4,5.4,5.4,5.1,104.2,107.6,,96.1,210.0,75.0,422.0,107.4,history,86.20334144663096
Q3 2007,391767.0,1.2,361090.0,1.9,104.6,1.8,5.3,5.7,5.3,5.1,104.3,109.0,,93.0,344.0,110.0,428.0,109.0,history,87.80111803024371
Q4 2007,392205.0,0.1,363722.0,0.7,105.7,2.1,5.2,5.7,4.7,4.7,101.5,108.9,,93.6,495.0,147.0,431.0,108.7,history,88.4411040244712
Q1 2008,392786.0,0.1,370185.0,1.8,106.2,2.4,5.2,5.4,4.2,4.5,95.9,107.2,,85.1,748.0,209.0,443.0,111.2,history,90.01261978461261
Q2 2008,389239.0,-0.9,367477.0,-0.7,108.3,3.3,5.4,5.0,4.7,4.9,93.1,102.1,,86.5,778.0,229.0,440.0,108.3,history,89.35415395164604
Q3 2008,383626.0,-1.4,363487.0,-1.1,109.7,4.9,5.9,5.0,4.6,4.7,91.6,96.6,,77.2,916.0,265.0,441.0,107.2,history,88.38396241784375
Q4 2008,375388.0,-2.1,360921.0,-0.7,109.8,3.9,6.4,3.4,3.6,4.2,83.8,91.9,,60.5,1978.0,468.0,443.0,107.5,history,87.76002470462653
Q1 2009,366124.0,-2.5,351223.0,-2.7,109.4,3.0,7.1,1.1,2.6,3.6,77.8,89.1,,57.6,2392.0,583.0,431.0,105.0,history,85.40190001920931
