quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,PPP-weighted World real GDP,Oil price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial real estate price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,South Africa real GDP,period_kind
Q1 2000,351979.0,266240.0,72.1,5.8,129013.4,192956.0,38.2,,,,81.1,5.9,125.2,555.0,8.4,14.5,8.7,53.9,26.8,23.1,141.3,129.4,83.0,82.4,82.1,47.4,74.8,9.3,2.5,62.8,66.6,73.5,4.0,64.9,5.7,54.5,42.7,124.9,502.9,21.8,,,55.5,5.8,31.6,22.9,31.9,43.1,62.2,history
Q2 2000,354546.0,269907.0,72.7,5.5,128357.2,194761.0,38.8,,,,80.0,6.0,143.4,615.7,8.5,14.1,12.9,54.6,26.7,24.9,142.5,123.4,83.8,83.1,82.9,48.6,75.2,9.0,3.3,63.6,69.0,74.9,3.9,66.1,6.3,55.8,42.1,164.5,596.2,22.4,,,55.6,5.2,29.5,22.0,31.9,44.1,62.8,history
Q3 2000,355557.0,272030.0,72.7,5.3,127064.7,199361.0,38.8,,,,82.5,6.0,144.5,672.5,8.2,13.1,16.9,55.1,30.4,19.2,141.8,119.1,84.3,83.7,82.8,50.1,75.7,8.9,3.5,64.4,69.9,75.0,4.0,67.5,6.5,56.9,46.6,169.4,630.9,23.4,,,56.3,4.9,28.5,20.5,32.3,45.5,63.4,history
Q4 2000,356094.0,272686.0,73.2,5.2,125166.8,202536.0,39.5,,,,80.2,6.0,131.0,857.9,8.0,12.5,12.6,55.4,29.5,26.1,144.5,116.6,85.0,84.3,82.9,50.9,76.1,8.6,3.8,65.3,71.4,75.5,3.9,62.4,6.5,58.3,48.2,188.8,811.6,24.2,,,56.7,4.5,27.5,20.6,32.3,45.8,63.9,history
Q1 2001,360749.0,275097.0,72.8,5.1,124380.2,205752.0,40.4,,,,77.0,5.9,127.1,736.3,8.1,11.5,11.9,55.7,25.7,25.7,137.3,117.6,85.7,84.8,84.2,51.6,76.3,8.4,3.8,66.2,71.7,75.2,4.2,58.3,5.6,59.5,47.5,182.5,801.9,23.8,5.3,,56.5,4.5,26.5,20.5,32.5,45.5,64.3,history
Q2 2001,363235.0,280259.0,73.8,5.0,128137.4,206118.0,41.7,,,,74.4,5.4,118.9,735.8,8.4,12.1,9.9,55.9,27.3,23.9,141.3,114.5,85.8,84.9,84.3,52.2,77.4,8.4,3.5,67.1,72.8,75.6,4.4,56.4,4.3,60.4,47.2,163.2,806.8,24.3,8.4,,56.4,4.5,26.5,19.6,33.2,44.4,64.7,history
Q3 2001,365696.0,281273.0,73.8,5.1,128239.9,208942.0,43.2,,,,67.8,5.1,114.6,793.3,9.2,12.8,6.6,56.3,25.3,25.7,140.1,115.8,85.8,85.2,84.1,52.3,77.4,8.4,2.8,68.0,73.7,75.4,4.8,52.6,3.6,61.4,48.0,158.6,842.8,25.2,11.5,,56.4,4.8,25.7,18.2,33.6,43.3,64.8,history
Q4 2001,367157.0,283946.0,73.9,5.2,129373.8,209093.0,44.5,,,,65.9,4.2,122.8,878.3,9.8,13.9,8.7,56.7,19.4,27.8,139.9,116.3,86.0,85.1,84.2,52.9,77.7,8.4,2.3,68.9,73.7,75.6,5.5,51.0,2.1,62.4,46.2,179.6,898.5,26.1,12.2,,56.0,5.9,24.1,17.0,34.4,43.6,65.3,history
Q1 2002,368690.0,287487.0,73.9,5.2,132161.6,211256.0,46.2,,,,66.8,4.0,107.6,857.8,10.5,15.2,5.1,57.1,21.1,21.4,141.2,115.0,86.1,85.5,83.9,54.1,78.2,8.5,2.3,70.2,74.3,76.3,5.7,51.8,1.8,63.5,46.8,172.7,786.9,25.9,15.2,,56.1,6.8,24.1,17.0,34.6,45.1,66.2,history
Q2 2002,371397.0,290596.0,74.5,5.2,133235.1,214875.0,48.8,,,,65.4,4.0,100.0,697.2,11.4,15.0,3.0,57.5,25.1,21.6,138.2,117.8,86.6,85.9,84.1,54.5,79.0,8.6,2.3,71.5,74.3,76.7,5.8,49.0,1.8,65.0,46.3,177.8,735.2,26.4,15.1,,56.9,7.3,23.6,16.5,34.9,46.5,67.0,history
Q3 2002,374205.0,295078.0,74.6,5.3,136292.4,215256.0,51.9,,,,53.5,4.0,125.6,820.3,12.2,15.8,3.8,58.0,26.9,34.9,136.7,124.8,86.9,86.2,84.5,55.7,79.1,8.7,2.3,72.5,74.7,77.1,5.7,41.0,1.8,66.6,47.2,221.0,966.8,27.6,9.9,,57.8,7.4,22.4,16.4,35.1,46.3,67.5,history
Q4 2002,377469.0,299491.0,75.0,5.1,138855.7,215967.0,55.3,,,,51.1,4.0,135.5,884.8,13.3,15.4,7.7,58.6,26.8,30.6,136.3,126.7,87.0,86.1,84.3,56.3,79.5,8.9,1.8,73.4,75.0,77.1,5.9,40.6,1.4,68.2,48.5,222.5,979.2,28.5,9.0,,58.2,7.3,21.3,15.5,35.1,46.3,68.0,history
Q1 2003,380565.0,304228.0,75.0,5.2,142686.5,219994.0,57.8,,,,47.3,3.8,128.0,859.8,14.0,14.6,8.7,59.2,31.4,30.0,129.7,129.2,86.8,86.3,83.3,55.8,80.0,9.0,1.5,74.5,74.7,77.5,5.9,39.4,1.3,69.6,50.4,170.6,822.5,28.8,10.8,,58.2,7.5,20.5,14.9,35.9,46.9,68.6,history
Q2 2003,384014.0,307819.0,75.5,4.9,142635.8,222103.0,59.7,,,,51.3,3.8,108.6,700.4,14.1,14.8,11.3,59.8,26.1,21.5,123.7,130.4,86.9,86.1,83.3,56.1,80.5,9.1,1.0,75.7,74.8,78.3,6.1,42.9,1.2,70.9,50.8,135.2,665.8,28.8,7.1,,56.8,8.2,19.5,14.1,36.8,46.3,68.9,history
Q3 2003,387841.0,312341.0,75.6,5.0,143947.8,223671.0,61.7,,,,54.6,3.5,87.3,601.1,14.7,14.1,9.3,60.6,28.4,19.3,124.1,129.8,87.3,86.8,83.8,56.9,80.7,9.1,1.0,76.8,75.2,79.6,6.1,45.7,1.0,72.7,50.2,118.2,567.8,30.4,10.6,,60.2,8.3,19.4,14.7,37.8,48.8,69.3,history
Q4 2003,391048.0,318061.0,76.0,4.9,148208.3,227758.0,64.6,,,,57.1,3.6,75.5,474.0,15.1,13.5,7.0,61.4,29.4,17.4,124.4,137.6,88.0,87.4,84.1,60.0,81.1,9.1,1.0,78.0,75.5,80.5,5.8,48.3,1.0,74.7,49.6,102.9,459.8,31.3,11.3,,60.9,7.7,21.1,16.2,39.0,50.3,69.7,history
Q1 2004,393247.0,320320.0,75.9,4.8,149123.2,226851.0,67.8,,,,59.0,3.9,78.8,421.4,15.3,13.9,6.9,62.3,32.0,16.6,127.6,148.1,88.5,88.2,84.0,59.6,81.4,9.3,1.0,79.1,75.6,81.0,5.7,51.8,1.0,77.1,52.0,94.3,420.2,31.8,12.1,,62.6,7.3,24.1,21.2,39.1,51.7,70.8,history
Q2 2004,395113.0,325462.0,76.5,4.8,152010.5,230131.0,71.4,,,,59.3,4.2,83.6,398.2,15.4,13.8,5.4,63.2,35.4,16.2,130.1,145.6,89.0,88.7,84.3,60.9,82.4,9.3,1.0,80.6,76.4,81.6,5.6,51.4,1.0,79.8,54.6,95.5,409.7,32.1,11.8,,63.7,6.9,25.2,23.3,40.1,52.4,71.8,history
Q3 2004,395867.0,327320.0,76.6,4.7,150970.1,234393.0,73.6,,,,58.6,4.7,84.1,402.8,14.6,14.0,8.9,64.0,41.6,15.4,129.1,146.5,89.2,89.0,84.2,61.1,82.5,9.2,1.0,82.1,76.4,82.3,5.4,50.5,1.4,82.2,58.5,96.3,399.0,33.4,10.3,,64.5,6.6,25.4,23.8,41.0,52.7,72.9,history
Q4 2004,398259.0,331772.0,77.1,4.7,152552.6,235293.0,73.9,,,,62.4,4.8,77.1,339.9,13.1,14.1,7.9,64.7,44.0,13.6,124.8,150.4,89.6,89.6,84.3,62.7,83.0,9.3,1.0,83.6,77.1,83.0,5.4,53.2,1.9,84.8,59.8,87.8,330.1,34.1,10.6,,65.8,6.7,27.3,26.8,41.8,53.9,73.7,history
Q1 2005,400558.0,335287.0,77.3,4.7,155859.8,236434.0,74.5,,,,65.7,4.8,69.5,284.9,11.7,13.7,11.3,65.4,47.8,12.8,125.1,152.3,89.7,89.9,84.1,62.9,83.1,9.1,1.0,85.1,77.6,83.9,5.3,54.5,2.4,88.0,59.9,83.6,305.0,35.3,11.3,,66.5,6.2,29.4,29.5,42.6,54.4,74.5,history
Q2 2005,404875.0,343740.0,78.0,4.8,161295.6,240355.0,75.0,,,,65.9,4.8,82.8,378.4,10.8,12.6,16.0,66.2,51.6,13.4,127.9,149.5,90.3,90.0,84.7,64.2,84.1,9.2,1.0,86.6,78.7,84.3,5.1,54.1,2.9,91.1,62.1,100.1,396.4,35.6,12.0,,68.5,5.8,30.9,32.4,43.9,55.8,75.8,history
Q3 2005,409270.0,346479.0,78.4,4.7,161321.5,242493.0,75.7,,,,70.7,4.6,74.1,374.1,10.1,11.1,16.1,67.0,61.7,12.3,127.0,143.9,91.0,90.5,85.3,64.7,84.4,9.0,1.0,88.1,80.1,85.0,5.0,56.0,3.4,94.0,63.7,89.3,350.3,37.0,12.0,,69.8,5.6,30.6,32.9,44.5,57.3,76.8,history
Q4 2005,414816.0,353951.0,78.8,5.1,166747.6,246893.0,76.9,,,,72.7,4.5,75.2,376.5,10.2,9.6,17.8,67.9,56.9,12.7,127.6,140.8,91.5,91.1,85.7,66.6,84.9,9.0,1.3,89.7,81.9,85.5,5.0,56.3,4.0,96.6,66.5,94.2,362.1,38.3,10.3,,70.7,5.3,29.5,32.4,45.6,58.9,77.3,history
