quarter,UK real GDP,UK nominal GDP,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,Deposit volumes,"2yr fixed mortgage rate, 75% LTV",Instant access savings rate,PPP-weighted World real GDP,World trade,Volatility index,Euro area real GDP,ECB policy rate,Euro area residential property price index,US real GDP,US equity prices,US policy rate,US residential real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China residential property price index,Hong Kong real GDP,Hong Kong residential property price index,India real GDP,period_kind,UK nominal GDP index
Q1 2000,351979.0,266240.0,129013.4,192956.0,38.2,,81.1,5.9,125.2,555.0,8.4,14.5,8.7,604846.0,6.7,,53.9,47.7,23.1,83.0,2.5,62.8,73.5,64.9,5.7,54.5,124.9,502.9,21.8,,55.5,31.6,31.9,history,53.7982593563486
Q2 2000,354546.0,269907.0,128357.2,194761.0,38.8,,80.0,6.0,143.4,615.7,8.5,14.1,12.9,613899.0,6.4,,54.6,49.5,24.9,83.8,3.3,63.6,74.9,66.1,6.3,55.8,164.5,596.2,22.4,,55.6,29.5,31.9,history,54.539238236530885
Q3 2000,355557.0,272030.0,127064.7,199361.0,38.8,,82.5,6.0,144.5,672.5,8.2,13.1,16.9,624557.0,6.3,,55.1,50.3,19.2,84.3,3.5,64.4,75.0,67.5,6.5,56.9,169.4,630.9,23.4,,56.3,28.5,32.3,history,54.968226009267994
Q4 2000,356094.0,272686.0,125166.8,202536.0,39.5,,80.2,6.0,131.0,857.9,8.0,12.5,12.6,636736.0,6.0,,55.4,49.9,26.1,85.0,3.8,65.3,75.5,62.4,6.5,58.3,188.8,811.6,24.2,,56.7,27.5,32.3,history,55.10078181657631
Q1 2001,360749.0,275097.0,124380.2,205752.0,40.4,,77.0,5.9,127.1,736.3,8.1,11.5,11.9,647441.0,5.7,,55.7,49.6,25.7,85.7,3.8,66.2,75.2,58.3,5.6,59.5,182.5,801.9,23.8,,56.5,26.5,32.5,history,55.58796482179024
Q2 2001,363235.0,280259.0,128137.4,206118.0,41.7,,74.4,5.4,118.9,735.8,8.4,12.1,9.9,660070.0,5.7,,55.9,49.3,23.9,85.8,3.5,67.1,75.6,56.4,4.3,60.4,163.2,806.8,24.3,,56.4,26.5,33.2,history,56.63103353722545
Q3 2001,365696.0,281273.0,128239.9,208942.0,43.2,,67.8,5.1,114.6,793.3,9.2,12.8,6.6,670045.0,5.6,,56.3,49.4,25.7,85.8,2.8,68.0,75.4,52.6,3.6,61.4,158.6,842.8,25.2,,56.4,25.7,33.6,history,56.83592925157092
Q4 2001,367157.0,283946.0,129373.8,209093.0,44.5,,65.9,4.2,122.8,878.3,9.8,13.9,8.7,683556.0,5.0,,56.7,50.0,27.8,86.0,2.3,68.9,75.6,51.0,2.1,62.4,179.6,898.5,26.1,,56.0,24.1,34.4,history,57.37605375299639
Q1 2002,368690.0,287487.0,132161.6,211256.0,46.2,,66.8,4.0,107.6,857.8,10.5,15.2,5.1,693552.0,5.1,,57.1,50.5,21.4,86.1,2.3,70.2,76.3,51.8,1.8,63.5,172.7,786.9,25.9,,56.1,24.1,34.6,history,58.091572218970065
Q2 2002,371397.0,290596.0,133235.1,214875.0,48.8,,65.4,4.0,100.0,697.2,11.4,15.0,3.0,708897.0,5.4,,57.5,51.1,21.6,86.6,2.3,71.5,76.7,49.0,1.8,65.0,177.8,735.2,26.4,,56.9,23.6,34.9,history,58.7197978362285
Q3 2002,374205.0,295078.0,136292.4,215256.0,51.9,,53.5,4.0,125.6,820.3,12.2,15.8,3.8,716342.0,4.8,,58.0,51.7,34.9,86.9,2.3,72.5,77.1,41.0,1.8,66.6,221.0,966.8,27.6,,57.8,22.4,35.1,history,59.62546114164902
Q4 2002,377469.0,299491.0,138855.7,215967.0,55.3,,51.1,4.0,135.5,884.8,13.3,15.4,7.7,730967.0,4.5,,58.6,52.3,30.6,87.0,1.8,73.4,77.1,40.6,1.4,68.2,222.5,979.2,28.5,,58.2,21.3,35.1,history,60.51718183928861
Q1 2003,380565.0,304228.0,142686.5,219994.0,57.8,,47.3,3.8,128.0,859.8,14.0,14.6,8.7,748772.0,4.2,,59.2,52.9,30.0,86.8,1.5,74.5,77.5,39.4,1.3,69.6,170.6,822.5,28.8,,58.2,20.5,35.9,history,61.47437217346463
Q2 2003,384014.0,307819.0,142635.8,222103.0,59.7,,51.3,3.8,108.6,700.4,14.1,14.8,11.3,764406.0,3.9,,59.8,53.5,21.5,86.9,1.0,75.7,78.3,42.9,1.2,70.9,135.2,665.8,28.8,,56.8,19.5,36.8,history,62.19999397840997
Q3 2003,387841.0,312341.0,143947.8,223671.0,61.7,,54.6,3.5,87.3,601.1,14.7,14.1,9.3,776417.0,4.2,,60.6,54.7,19.3,87.3,1.0,76.8,79.6,45.7,1.0,72.7,118.2,567.8,30.4,,60.2,19.4,37.8,history,63.11373995500781
