quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,PPP-weighted World real GDP,Oil price,Volatility index,GBPEUR exchange rate index,GBPUSD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP
Q1 2000,369352,268202,72.1,5.8,129854,195594,36.8,,,,79.7,5.87,125.0,555.0,8.4,14.5,8.7,49.7,26.8,23.1,144.4,124.8,79.1,78.7,78.8,41.6,72.3,9.3,2.2,56.7,65.5,68.7,4,52.7,5.7,49.3,43.6,125.0,503.0,19.2,7.4,,52.5,5.8,23.8,16.3,27.8,40.2
Q2 2000,371610,271872,72.7,5.5,129031,198223,38.6,,,,78.6,6,143.0,616.0,8.5,14.1,12.9,50.3,26.7,24.9,145.6,119.1,79.9,79.4,79.6,42.8,72.8,9,2.8,57.4,67.9,69.9,3.9,53.7,6.26,50.5,43.1,165.0,596.0,19.7,10.3,,52.5,5.2,22.1,15.6,27.9,41.1
Q3 2000,372653,274115,72.7,5.3,128205,201801,38.8,,,,81.0,6,144.0,672.0,8.2,13.1,16.9,50.8,30.4,19.2,144.9,114.9,80.3,79.9,79.5,44,73.2,8.9,3.33,58.3,68.8,70,4,54.8,6.5,51.5,47.7,169.0,631.0,20.6,7.8,,53.2,4.9,21.4,14.6,28.2,42.4
Q4 2000,373273,275152,73.2,5.2,127378,205532,39.8,,,,78.7,6,131.0,858.0,8.0,12.5,12.6,51,29.5,26.1,147.7,112.5,80.9,80.6,79.5,44.5,73.6,8.6,3.73,59.3,70.2,70.5,3.9,50.7,6.5,52.7,49.6,189.0,812.0,21.4,4,,53.6,4.5,20.7,14.6,28.2,42.7
Q1 2001,378202,277539,72.8,5.1,125668,207437,40.6,,,,75.6,5.86,127.0,736.0,8.1,11.5,11.9,51.3,25.7,25.7,140.3,113.4,81.6,81,80.8,44.9,73.8,8.4,3.75,60.1,70.5,70.3,4.2,47.4,5.62,53.8,49.3,182.0,802.0,21,5.3,,53.4,4.5,19.9,14.5,28.4,42.4
Q2 2001,381178,282538,73.8,5,129244,207661,41.4,,,,73.1,5.36,119.0,736.0,8.4,12.1,9.9,51.5,27.3,23.9,144.4,110.5,81.7,81.1,80.9,45.5,74.9,8.4,3.61,60.9,71.6,70.7,4.4,45.8,4.32,54.6,48.9,163.0,807.0,21.4,8.4,,53.3,4.5,19.9,14,29,41.4
Q3 2001,384018,283440,73.8,5.1,129030,210276,42.5,,,,66.6,5.05,115.0,793.0,9.2,12.8,6.7,51.8,25.3,25.7,143.2,111.7,81.8,81.4,80.7,45.6,74.9,8.4,3.35,61.7,72.6,70.4,4.8,42.7,3.56,55.6,49.5,159.0,843.0,22.3,11.5,,53.3,4.8,19.3,12.9,29.3,40.4
Q4 2001,385729,285926,73.9,5.2,130802,210320,43,,,,64.8,4.23,123.0,878.0,9.8,13.9,8.7,52.2,19.4,27.8,143,112.2,82,81.4,80.8,46.3,75.2,8.5,2.47,62.4,72.5,70.6,5.5,41.4,2.15,56.4,47.8,180.0,898.0,23,12.2,,53,5.9,18.1,12.1,30,40.7
Q1 2002,387561,289508,73.9,5.2,132960,214658,44.3,,,,65.6,4,108.0,859.0,10.5,15.3,5.1,52.6,21.1,21.4,144.3,110.9,82.1,81.7,80.5,47.4,75.7,8.5,2.25,63.3,73.1,71.2,5.7,42.0,1.75,57.4,48.1,173.0,787.0,22.9,15.2,,53,6.8,18.1,12.1,30.3,42.1
Q2 2002,390117,293118,74.5,5.2,134621,218515,47.2,,,,64.3,4,100.0,697.0,11.4,15.0,3.1,53,25.1,21.6,141.3,113.6,82.5,82.1,80.7,47.7,76.4,8.6,2.25,64.7,73.2,71.6,5.8,39.7,1.75,58.7,48.1,178.0,735.0,23.3,15.1,,53.8,7.3,17.7,11.7,30.4,43.3
