quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,5-year nominal Gilt yields,10-year nominal Gilt yields,3 month sterling libor,period_kind
Q1 2000,369352.0,268202.0,0.7,5.8,195594.0,36.8,,,,79.7,5.87,125.0,555.0,6.09,5.4,6.15,history
Q2 2000,371610.0,271872.0,0.6,5.5,198223.0,38.6,,,,78.6,6.0,143.0,616.0,5.74,5.14,6.21,history
Q3 2000,372653.0,274115.0,0.8,5.3,201801.0,38.8,,,,81.0,6.0,144.0,672.0,5.63,5.17,6.15,history
Q4 2000,373273.0,275152.0,1.0,5.2,205532.0,39.8,,,,78.7,6.0,131.0,858.0,5.32,4.96,6.03,history
Q1 2001,378202.0,277539.0,1.0,5.1,207437.0,40.6,,,,75.6,5.86,127.0,736.0,4.97,4.69,5.67,history
Q2 2001,381178.0,282538.0,1.5,5.0,207661.0,41.4,,,,73.1,5.36,119.0,736.0,5.12,5.01,5.26,history
Q3 2001,384018.0,283440.0,1.5,5.1,210276.0,42.5,,,,66.6,5.05,115.0,793.0,5.09,4.99,4.98,history
Q4 2001,385729.0,285926.0,1.0,5.2,210320.0,43.0,,,,64.8,4.23,123.0,878.0,4.72,4.73,4.14,history
Q1 2002,387561.0,289508.0,1.5,5.2,214658.0,44.3,,,,65.6,4.0,108.0,859.0,5.01,4.96,4.06,history
Q2 2002,390117.0,293118.0,0.9,5.2,218515.0,47.2,,,,64.3,4.0,100.0,697.0,5.16,5.15,4.14,history
Q3 2002,393074.0,297553.0,1.1,5.3,218311.0,50.0,,,,52.6,4.0,126.0,820.0,4.6,4.73,3.99,history
Q4 2002,396599.0,302777.0,1.5,5.1,217955.0,53.3,,,,50.2,4.0,136.0,885.0,4.36,4.6,3.96,history
Q1 2003,399206.0,307147.0,1.5,5.2,220285.0,54.7,,,,46.4,3.85,128.0,860.0,3.98,4.32,3.78,history
Q2 2003,402985.0,309831.0,1.3,4.9,223001.0,55.5,,,,50.4,3.75,109.0,700.0,3.89,4.28,3.62,history
Q3 2003,407106.0,314554.0,1.3,5.0,226350.0,56.5,,,,53.6,3.53,87.0,601.0,4.26,4.57,3.56,history
Q4 2003,410395.0,320315.0,1.3,4.9,229946.0,58.5,,,,56.1,3.65,76.0,474.0,4.78,4.92,3.9,history
Q1 2004,412641.0,322812.0,1.2,4.8,230685.0,59.7,,,,57.9,3.91,79.0,421.0,4.6,4.73,4.15,history
Q2 2004,414222.0,328188.0,1.3,4.8,234074.0,62.2,,,,58.2,4.22,84.0,398.0,4.99,5.04,4.54,history
Q3 2004,414905.0,329468.0,1.3,4.7,239303.0,64.4,,,,57.6,4.65,84.0,403.0,4.95,4.95,4.87,history
Q4 2004,415951.0,332386.0,1.4,4.7,239869.0,65.7,,,,61.3,4.75,77.0,340.0,4.56,4.62,4.85,history
Q1 2005,419894.0,336947.0,1.8,4.7,239727.0,66.3,,,,64.6,4.75,70.0,285.0,4.57,4.6,4.88,history
Q2 2005,424551.0,345621.0,2.0,4.8,246314.0,67.2,,,,64.7,4.75,83.0,378.0,4.34,4.4,4.86,history
Q3 2005,429518.0,348944.0,2.3,4.7,248955.0,68.1,,,,69.4,4.59,74.0,374.0,4.17,4.24,4.59,history
Q4 2005,435953.0,357241.0,2.2,5.1,251574.0,69.0,,,,71.4,4.5,75.0,377.0,4.26,4.25,4.58,history
Q1 2006,437114.0,360867.0,1.8,5.2,250372.0,70.6,,,,77.3,4.5,76.0,351.0,4.21,4.13,4.57,history
Q2 2006,438088.0,364503.0,2.3,5.5,255123.0,72.0,,,,77.8,4.5,76.0,296.0,4.63,4.55,4.66,history
Q3 2006,438369.0,368529.0,2.4,5.5,260243.0,73.5,,,,77.9,4.66,81.0,281.0,4.7,4.54,4.87,history
Q4 2006,439915.0,372003.0,2.7,5.5,264072.0,75.8,,,,82.5,4.89,80.0,235.0,4.76,4.5,5.17,history
Q1 2007,444292.0,377827.0,2.9,5.5,266535.0,78.0,,,,84.8,5.22,78.0,202.0,5.05,4.75,5.49,history
Q2 2007,447498.0,381615.0,2.5,5.4,271753.0,79.7,,,,88.5,5.4,79.0,208.0,5.31,5.1,5.72,history
Q3 2007,451288.0,388524.0,1.7,5.3,276303.0,81.0,,,,85.7,5.74,114.0,341.0,5.26,5.09,6.27,history
Q4 2007,455043.0,393476.0,2.1,5.2,275160.0,82.0,,,,86.2,5.69,151.0,493.0,4.71,4.74,6.25,history
Q1 2008,456663.0,399035.0,2.3,5.2,276237.0,81.0,,,,78.4,5.35,205.0,726.0,4.22,4.51,5.65,history
Q2 2008,453283.0,397075.0,3.4,5.3,279855.0,79.2,,,,79.6,5.03,217.0,739.0,4.68,4.87,5.76,history
Q3 2008,445818.0,394626.0,4.9,5.9,279084.0,75.2,,,,71.1,5.0,243.0,873.0,4.61,4.75,5.73,history
Q4 2008,436137.0,389060.0,3.9,6.4,281441.0,71.0,,,,55.7,3.37,409.0,1928.0,3.57,4.2,4.42,history
Q1 2009,428886.0,382864.0,3.0,7.1,275277.0,68.4,,,,53.0,1.07,491.0,2323.0,2.62,3.62,1.92,history
Q2 2009,428073.0,382457.0,2.1,7.8,283572.0,68.3,,,,56.7,0.5,443.0,1907.0,2.75,3.68,1.26,history
Q3 2009,428682.0,385469.0,1.4,7.8,286354.0,70.1,,,,63.1,0.5,287.0,1133.0,2.91,3.83,0.74,history
Q4 2009,430166.0,386423.0,2.1,7.8,287427.0,72.3,,,,70.0,0.5,229.0,767.0,2.75,3.85,0.59,history
Q1 2010,432106.0,391142.0,3.3,8.0,286059.0,73.7,,,,72.5,0.5,189.0,627.0,2.91,4.21,0.62,history
Q2 2010,435817.0,397248.0,3.4,7.9,290933.0,74.0,,,,72.2,0.5,199.0,570.0,2.56,3.95,0.68,history
Q3 2010,438337.0,397897.0,3.1,7.8,292894.0,74.1,,,,71.6,0.5,212.0,570.0,2.05,3.39,0.7,history
Q4 2010,438908.0,401179.0,3.3,7.9,291707.0,73.4,,,,77.9,0.5,210.0,567.0,2.05,3.44,0.71,history
Q1 2011,442198.0,411146.0,4.1,7.8,287962.0,73.1,,,,80.5,0.5,201.0,546.0,2.63,3.89,0.77,history
Q2 2011,442851.0,408787.0,4.5,7.9,293497.0,72.7,,,,80.4,0.5,196.0,558.0,2.33,3.66,0.79,history
Q3 2011,444043.0,410262.0,4.7,8.3,295859.0,72.6,,,,74.0,0.5,260.0,745.0,1.62,2.94,0.83,history
Q4 2011,444780.0,414351.0,4.6,8.4,296803.0,72.5,,,,73.0,0.5,323.0,889.0,1.26,2.4,0.96,history
Q1 2012,447661.0,417502.0,3.6,8.2,300818.0,72.7,,,,78.5,0.5,297.0,820.0,1.06,2.27,0.99,history
Q2 2012,447420.0,418098.0,2.7,8.0,305421.0,73.1,,,,75.2,0.5,298.0,808.0,0.92,2.0,0.92,history
Q3 2012,452748.0,428748.0,2.5,7.9,308123.0,73.0,,,,78.0,0.5,260.0,743.0,0.68,1.72,0.68,history
Q4 2012,451712.0,430069.0,2.7,7.8,303625.0,73.2,,,,79.8,0.5,210.0,599.0,0.81,1.84,0.53,history
Q1 2013,454633.0,432989.0,2.7,7.8,305099.0,73.6,,,,86.4,0.5,192.0,511.0,0.98,2.13,0.51,history
Q2 2013,457126.0,436307.0,2.7,7.7,314594.0,74.2,,,,88.7,0.5,175.0,495.0,0.96,2.07,0.51,history
Q3 2013,461224.0,444346.0,2.7,7.6,319839.0,75.1,,,,90.5,0.5,169.0,487.0,1.49,2.76,0.51,history
Q4 2013,463382.0,447705.0,2.1,7.2,321272.0,76.5,,,,92.1,0.5,148.0,422.0,1.66,2.88,0.52,history
Q1 2014,467266.0,453883.0,1.7,6.8,323186.0,78.4,,,,93.7,0.5,139.0,358.0,1.83,2.91,0.51,history
Q2 2014,471155.0,460696.0,1.7,6.3,327720.0,80.3,,,,94.3,0.5,133.0,327.0,1.88,2.81,0.52,history
Q3 2014,474457.0,464730.0,1.4,6.0,329012.0,81.8,,,,94.0,0.5,135.0,375.0,1.88,2.62,0.55,history
Q4 2014,477615.0,464986.0,0.9,5.7,331529.0,82.9,,,,91.2,0.5,146.0,442.0,1.44,2.13,0.55,history
Q1 2015,480165.0,467295.0,0.1,5.5,333479.0,83.6,,,,95.4,0.5,136.0,413.0,1.13,1.7,0.55,history
Q2 2015,483042.0,475229.0,0.0,5.6,338901.0,84.5,,,,98.0,0.5,135.0,376.0,1.32,1.99,0.56,history
Q3 2015,485483.0,475541.0,0.0,5.3,345437.0,86.3,,,,91.5,0.5,160.0,415.0,1.36,1.99,0.57,history
Q4 2015,488877.0,477774.0,0.1,5.1,345886.0,88.3,,,,89.9,0.5,173.0,445.0,1.26,1.91,0.56,history
Q1 2016,490744.0,485326.0,0.3,5.1,344140.0,90.2,,,,86.0,0.5,199.0,532.0,0.93,1.61,0.57,history
Q2 2016,491903.0,489494.0,0.3,4.9,346423.0,91.3,,,,88.9,0.5,177.0,510.0,0.79,1.47,0.56,history
Q3 2016,494256.0,493730.0,0.8,4.8,350385.0,92.1,,,,96.0,0.34,154.0,511.0,0.28,0.81,0.39,history
Q4 2016,497768.0,500974.0,1.2,4.8,345015.0,93.1,,,,98.2,0.25,151.0,469.0,0.6,1.31,0.36,history
Q1 2017,500135.0,507028.0,2.2,4.6,344709.0,94.2,,,,103.1,0.25,145.0,427.0,0.57,1.32,0.34,history
Q2 2017,501955.0,508869.0,2.8,4.4,352633.0,95.3,,,,105.6,0.25,138.0,397.0,0.42,1.1,0.3,history
Q3 2017,504533.0,514258.0,2.8,4.3,352909.0,96.5,,,,105.5,0.25,128.0,369.0,0.56,1.22,0.29,history
Q4 2017,506687.0,519474.0,3.1,4.4,356000.0,97.4,,,,107.2,0.41,124.0,350.0,0.77,1.34,0.47,history
Q1 2018,508207.0,522384.0,2.6,4.2,359359.0,98.1,,,,105.7,0.5,122.0,356.0,1.03,1.52,0.56,history
Q2 2018,510576.0,527479.0,2.4,4.0,364336.0,98.6,,,,108.4,0.5,138.0,402.0,1.05,1.49,0.64,history
Q3 2018,513665.0,532945.0,2.5,4.1,367234.0,99.5,,,,108.5,0.66,147.0,459.0,1.02,1.43,0.76,history
Q4 2018,515309.0,535726.0,2.2,4.0,372038.0,100.0,100.0,100.0,100.0,100.0,0.75,166.0,535.0,1.01,1.43,0.82,year_zero
Q1 2019,513195.0,533427.0,1.9,4.5,370761.0,99.6,99.0,99.1,98.8,81.4,0.75,261.0,1102.0,1.78,2.58,1.17,projection
Q2 2019,505633.0,526165.0,2.1,5.5,367127.0,96.1,95.5,95.1,95.6,69.6,1.5,309.0,1386.0,2.96,3.97,2.04,projection
Q3 2019,493942.0,515763.0,2.5,7.2,359505.0,92.4,88.5,87.3,89.7,63.8,2.75,356.0,1670.0,5.29,5.98,3.44,projection
Q4 2019,491295.0,512581.0,3.3,8.3,361412.0,88.9,80.0,77.6,82.3,59.5,4.0,404.0,1953.0,5.64,6.74,4.85,projection
Q1 2020,491422.0,513424.0,4.1,9.0,362254.0,85.2,69.6,65.6,73.4,61.0,4.0,386.0,1857.0,5.9,6.88,4.72,projection
Q2 2020,492040.0,518048.0,4.6,9.2,364273.0,81.6,59.3,54.0,64.4,62.4,4.0,368.0,1761.0,5.87,6.8,4.62,projection
Q3 2020,493157.0,524347.0,4.8,9.2,368403.0,77.9,59.1,54.0,63.9,64.2,4.0,350.0,1665.0,5.75,6.64,4.53,projection
Q4 2020,494845.0,531485.0,4.8,9.2,374122.0,74.3,59.6,54.5,64.3,66.1,4.0,332.0,1569.0,5.63,6.47,4.47,projection
Q1 2021,496487.0,537645.0,4.8,9.1,379632.0,70.7,60.4,55.2,65.1,68.2,4.0,316.0,1482.0,5.5,6.3,4.41,projection
Q2 2021,498139.0,543730.0,4.5,8.9,385279.0,67.1,61.2,55.9,66.0,70.1,4.0,301.0,1395.0,5.37,6.12,4.37,projection
Q3 2021,499691.0,549331.0,3.9,8.7,390037.0,67.0,62.0,56.6,67.0,72.2,4.0,285.0,1308.0,5.23,5.95,4.34,projection
Q4 2021,501141.0,553797.0,3.1,8.6,394851.0,67.7,62.8,57.4,68.2,74.4,4.0,269.0,1221.0,5.09,5.76,4.31,projection
Q1 2022,502382.0,557146.0,2.4,8.4,399305.0,68.6,63.7,58.2,69.3,76.7,4.0,253.0,1133.0,4.95,5.58,4.29,projection
Q2 2022,503460.0,561357.0,2.1,8.2,403685.0,69.4,64.6,59.0,70.5,79.1,4.0,238.0,1046.0,4.8,5.39,4.27,projection
Q3 2022,504535.0,566010.0,2.1,8.1,407929.0,70.4,65.6,59.9,71.7,81.9,3.88,222.0,959.0,4.66,5.21,4.13,projection
