quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate household deposit growth,PPP-weighted World real GDP,MER-weighted world import volumes,Oil price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q1 2000,391937,270734,72.1,5.8,132834,194569,36.6,,,,75.4,5.87,125.0,555.0,8.4,14.5,8.7,5.5,49.6,44.7,26.8,23.1,140.1,124.7,78.3,77.6,78.5,39.4,71.6,9.3,2.2,74.7,61.6,67.1,4,46.0,5.73,47.6,42.2,125.0,503.0,18.3,7.9,,54.5,5.8,25.4,18.5,26.7,39.1,2.8,53.9,history,50.439684917316875
Q2 2000,394312,273515,72.7,5.5,131739,196312,38.4,,,,74.4,6,143.0,616.0,8.5,14.1,12.9,4.9,50.3,46.1,26.7,24.9,141.2,119,78.9,78.3,79.1,40.5,72,9,2.8,75.2,63.6,68.4,3.9,46.8,6.29,48.7,41.8,165.0,596.0,18.8,9.8,,54.5,5.2,23.7,17.8,26.7,39.9,3.4,54.5,history,50.95780515251105
Q3 2000,395469,275409,72.7,5.3,130611,199956,38.6,,,,76.7,6,144.0,672.0,8.2,13.1,16.9,6.1,50.7,47.5,30.4,19.2,140.5,114.9,79.4,78.8,79.1,41.5,72.4,8.9,3.33,75.5,64.2,68.4,4,47.8,6.52,49.7,46.2,169.0,631.0,19.2,9.3,,55.2,4.9,22.9,16.6,27.1,41.3,2,55,history,51.31067092937468
Q4 2000,396403,276242,73.2,5.2,127853,204877,39.7,,,,74.5,6,131.0,858.0,8.0,12.5,12.6,6.1,51,48.2,29.5,26.1,143.2,112.4,79.9,79.5,78.9,41.8,72.8,8.6,3.73,75.9,65.3,68.9,3.9,44.2,6.5,50.9,47.8,189.0,812.0,19.5,8.8,,55.6,4.5,22.1,16.6,27.1,41.6,2.2,55.4,history,51.46586480061407
Q1 2001,401021,278908,72.8,5.1,127404,206776,40.4,,,,71.5,5.86,127.0,736.0,8.1,11.5,11.9,7.7,51.3,47.8,25.7,25.7,136,113.4,80.7,79.9,80.5,42.8,73,8.4,3.75,76.4,65.6,68.7,4.2,41.3,5.61,51.9,47.5,182.0,802.0,19.9,5.3,,55.4,4.5,21.3,16.5,27.2,41.3,1.9,55.5,history,51.962559711447454
Q2 2001,404118,285103,73.8,5,134131,205114,41.2,,,,69.2,5.36,119.0,736.0,8.4,12.1,9.9,8.5,51.5,47.2,27.3,23.9,140,110.4,80.8,80,80.4,43.1,74.1,8.4,3.61,76.6,66.6,69.1,4.4,40.0,4.32,52.8,47.2,163.0,807.0,20.3,8.4,,55.3,4.5,21.3,15.9,27.8,40.2,2.2,55.6,history,53.11673261940426
Q3 2001,407236,285857,73.8,5.1,133901,207402,42.3,,,,63.0,5.05,115.0,793.0,9.2,12.8,6.7,8.4,51.6,46.6,25.3,25.7,138.9,111.7,80.9,80.3,80.3,43.1,74.1,8.4,3.35,77.4,67.4,68.8,4.8,37.3,3.49,53.7,47.7,159.0,843.0,20.7,11.5,,55.3,4.8,20.6,14.7,28.1,39.3,2.9,55.7,history,53.25720822434364
Q4 2001,408833,288507,73.9,5.2,135095,207867,42.8,,,,61.3,4.23,123.0,878.0,9.8,13.9,8.6,8.4,51.9,46.3,19.4,27.8,138.7,112.1,81,80.3,80.2,44.1,74.4,8.5,2.47,78.2,67.4,69,5.5,36.2,2.14,54.5,46.2,180.0,898.0,21.1,12.2,,55,5.9,19.4,13.8,28.8,39.5,3.7,56,history,53.75092222048335
Q1 2002,410434,291400,73.9,5.2,136838,212148,44.1,,,,62.0,4,108.0,859.0,10.5,15.2,5.1,8.1,52.5,47.1,21.1,21.4,139.9,110.8,81,80.6,79.8,44.7,74.9,8.5,2.25,79.3,68,69.6,5.7,36.7,1.74,55.4,46.2,173.0,787.0,21.6,15.2,,55,6.8,19.4,13.8,29,40.7,3.6,56.4,history,54.289908858533245
Q2 2002,412445,294478,74.5,5.2,138453,215501,47,,,,60.8,4,100.0,697.0,11.4,15.0,3.1,8.3,53,48.2,25.1,21.6,137,113.5,81.5,80.9,80.1,45,75.6,8.6,2.25,80.3,68.1,70,5.8,34.7,1.76,56.8,46.4,178.0,735.0,22.2,15.1,,55.8,7.3,19,13.3,29.2,41.9,3.4,57,history,54.863362322728726
Q3 2002,415187,298755,74.6,5.3,141472,215797,48.9,,,,49.7,4,126.0,820.0,12.2,15.8,3.8,8.0,53.5,48.9,26.9,34.9,135.4,120.4,81.8,81.2,80.5,46.5,75.7,8.7,2.25,81.2,68.4,70.3,5.7,29.1,1.75,58.2,46.9,221.0,967.0,22.7,9.9,,56.7,7.4,18,13.3,29.4,41.9,3.6,57.6,history,55.660198081781395
Q4 2002,418465,303038,75,5.1,143525,216760,53,,,,47.5,4,136.0,885.0,13.3,15.3,7.7,8.2,53.9,49.5,26.8,30.6,135.1,122.1,82,81.3,80.4,46.8,76.1,8.9,2.11,81.7,68.8,70.4,5.9,28.8,1.45,59.6,48.1,223.0,979.0,23.2,9,,57.1,7.3,17.1,12.5,29.4,41.9,3.7,58.2,history,56.45815168384418
