quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate Retail Deposit volume,PPP-weighted World real GDP,MER-weighted world import volumes,Oil price,UK natural gas price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q1 2000,405110,270399,72.1,5.8,132832,194299,29.9,,,,74.2,5.87,125.0,555.0,8.4,14.4,8.7,5.5,47.7,41,26.9,13.3,23.1,138,127.9,77,76.5,78.3,32,64.9,9.3,2.2,46.7,59.9,65.7,4,34.6,5.73,33.4,35.5,125.0,503.0,16.9,7.4,,54,5.8,25.2,19.3,24.8,36.6,2.8,51.8,history,42.918296213525664
Q2 2000,407731,273712,72.7,5.5,132486,196012,31.4,,,,73.2,6,143.0,616.0,8.5,14.1,12.8,4.9,48.3,42.3,26.8,17.5,24.9,139.2,122,77.7,77.3,78.9,32.9,65.3,9,2.8,47.3,61.9,66.9,3.9,35.2,6.29,34.2,35.3,165.0,596.0,17.3,10.3,,54.1,5.2,23.5,18.5,24.9,37.3,3.4,52.5,history,43.44414251974503
Q3 2000,409290,276504,72.7,5.3,132336,199561,31.5,,,,75.5,6,144.0,672.0,8.2,13.1,16.9,6.0,48.7,43.5,30.4,16.2,19.2,138.5,117.8,78.1,77.8,78.9,33.6,65.7,8.9,3.33,47.8,62.5,67,4,36.0,6.52,34.9,38.9,169.0,631.0,17.6,7.8,,54.8,4.9,22.8,17.3,25.2,38.5,2,52.9,history,43.887294613606926
Q4 2000,410460,277885,73.2,5.2,130041,204273,32.4,,,,73.3,6,131.0,858.0,8.0,12.5,12.6,6.1,49,44.1,29.7,25.1,26.1,141.2,115.2,78.7,78.5,78.7,33.9,66.1,8.7,3.73,48.4,63.5,67.4,3.9,33.3,6.5,35.7,40.2,189.0,812.0,18,4,,55.2,4.5,21.9,17.3,25.2,38.8,2.2,53.1,history,44.10648982908805
Q1 2001,413970,280311,72.8,5.1,129340,205983,33,,,,70.4,5.86,127.0,736.0,8.1,11.5,11.9,7.7,49.2,43.8,25.8,27.7,25.7,134.1,116.2,79.5,78.9,80.3,34.5,66.3,8.4,3.75,49,63.7,67.2,4.2,31.1,5.61,36.4,40,182.0,802.0,18.3,5.3,,55,4.5,21.1,17.2,25.4,38.5,1.9,53.4,history,44.49154963557407
Q2 2001,415874,285988,73.8,5,134961,205377,33.7,,,,68.1,5.36,119.0,736.0,8.4,12.1,9.9,8.4,49.5,43.2,27.3,21.5,23.9,138,113.2,79.5,78.9,80.2,34.9,67.2,8.4,3.61,49.6,64.7,67.6,4.4,30.1,4.32,37,39.8,163.0,807.0,18.7,8.4,,54.9,4.5,21.2,16.5,25.9,37.5,2.2,53.5,history,45.392614978286815
Q3 2001,417821,286439,73.8,5.1,134884,207289,34.5,,,,62.0,5.05,115.0,793.0,9.2,12.8,6.7,8.4,49.6,42.6,25.2,17,25.7,136.9,114.5,79.6,79.1,80.1,34.7,67.3,8.4,3.35,50.3,65.6,67.3,4.8,28.0,3.49,37.6,40.3,159.0,843.0,19.1,11.5,,54.9,4.8,20.5,15.3,26.2,36.7,2.9,53.7,history,45.464198643878404
Q4 2001,418764,289285,73.9,5.2,136433,207548,35,,,,60.3,4.23,123.0,878.0,9.8,13.9,8.6,8.4,49.9,42.3,19.4,22.2,27.8,136.7,114.9,79.7,79.1,80,35.3,67.5,8.5,2.47,50.9,65.6,67.5,5.5,27.2,2.14,38.2,38.8,180.0,898.0,19.5,12.2,,54.6,5.9,19.2,14.3,26.8,36.9,3.7,54,history,45.915921730959695
Q1 2002,420979,291890,73.9,5.2,137808,211453,36.1,,,,61.1,4,108.0,859.0,10.5,15.2,5.1,8.1,50.3,43,21.1,19.2,21.4,137.9,113.6,79.8,79.5,79.6,36,68,8.5,2.25,52,66.1,68.1,5.7,27.6,1.74,38.9,38.9,173.0,787.0,19.9,15.2,,54.6,6.8,19.2,14.4,27,38,3.6,54.4,history,46.329392792747036
Q2 2002,423711,294981,74.5,5.2,139291,214924,38.4,,,,59.8,4,100.0,697.0,11.4,15.0,3.1,8.3,50.8,44.1,25.1,12.1,21.6,135,116.4,80.2,79.9,79.9,36.2,68.6,8.6,2.25,52.9,66.2,68.5,5.8,26.1,1.76,39.8,39.1,178.0,735.0,20.4,15.1,,55.4,7.3,18.8,13.9,27.2,39.1,3.4,54.9,history,46.820002793508905
