quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK corporate profits – Energy extraction sector,UK corporate profits – Non-energy extraction sectors,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate retail deposits,PPP-weighted world real GDP,MER-weighted world import volumes,Oil price,UK natural gas price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q1 2000,444540,272305,53.3,5.8,135348,4693,130655,192967,29.2,,68.0,5.87,125.0,555.0,8.4,14.5,8.7,5.5,43.3,38.2,26.9,13.3,23.1,137.7,127.3,74.3,73.9,78,59.4,9.4,2.2,44.8,71.6,59,4,24.0,5.7,31.2,40.2,125.0,503.0,14.8,,52.7,5.8,33.3,27.8,21.2,32.6,2.8,47.6,history,37.573614231072796
Q2 2000,447825,273916,53.8,5.5,133922,5194,128728,194331,30.7,,67.0,6,143.0,616.0,8.5,14.1,12.9,4.9,43.9,39.5,26.8,17.5,24.9,130.5,120.8,74.9,74.7,78.6,59.7,9.1,2.8,45.3,74,60.1,3.9,24.5,6.27,31.9,43,165.0,596.0,15.1,,52.8,5.2,31,26.6,21.2,33.2,3.4,48.2,history,37.795905751706854
Q3 2000,450688,276174,53.8,5.3,133064,5477,127587,198598,30.8,,69.1,6,144.0,672.0,8.2,13.1,16.9,6.0,44.2,40.6,30.4,16.2,19.2,138.4,118,75.4,75.3,78.7,60.1,9,3.33,45.8,74.7,60.1,4,25.0,6.5,32.6,45.8,169.0,631.0,15.4,,53.5,4.9,30.1,24.9,21.5,34.3,2,48.6,history,38.10747263785938
Q4 2000,453447,278357,54.1,5.2,131393,5810,125583,203039,31.6,,67.2,6,131.0,858.0,8.0,12.5,12.6,6.1,44.5,40.9,29.7,25.1,26.1,131.7,119.3,75.8,75.7,78.3,60.5,8.8,3.73,46.4,76,60.5,3.9,23.1,6.5,33.3,46.7,189.0,812.0,15.7,,53.9,4.5,29,24.9,21.5,34.5,2.2,48.9,history,38.40869075675705
Q1 2001,457680,282889,53.8,5.1,132364,5531,126833,204993,32.2,,64.5,5.86,127.0,736.0,8.1,11.5,11.9,7.7,44.7,40.5,25.8,27.7,25.7,133,113.5,76.6,76.1,80,60.6,8.5,3.75,47,76.3,60.3,4.2,21.6,5.62,34,46.4,182.0,802.0,16,,53.7,4.5,27.9,24.8,21.6,34.3,1.9,49.1,history,39.034032266076466
Q2 2001,459620,286728,54.6,5,136574,5474,131100,204397,32.9,,62.4,5.36,119.0,736.0,8.4,12.1,9.9,8.5,44.9,40,27.3,21.5,23.9,137.2,112.3,76.7,76.2,79.8,61.5,8.5,3.61,47.5,77.5,60.7,4.4,20.9,4.32,34.5,46.7,163.0,807.0,16.3,,53.6,4.5,28,23.8,22.1,33.4,2.2,49.1,history,39.56375116596111
Q3 2001,462016,288166,54.6,5.1,137302,4797,132505,205879,33.7,,56.8,5.05,115.0,793.0,9.2,12.8,6.7,8.4,45.1,39.5,25.2,17,25.7,133.3,117.3,76.8,76.5,79.8,61.5,8.5,3.35,48.2,78.5,60.4,4.8,19.5,3.56,35.1,47,159.0,843.0,16.7,,53.6,4.8,27.1,22,22.3,32.7,2.9,49.3,history,39.76217153012733
Q4 2001,463404,288352,54.6,5.2,136041,4310,131731,206119,34.2,,55.2,4.23,123.0,878.0,9.8,13.9,8.6,8.4,45.4,39.3,19.4,22.2,27.8,135.1,116.2,76.8,76.2,79.5,61.7,8.6,2.47,48.8,78.5,60.6,5.5,18.9,2.15,35.7,44.6,180.0,898.0,17,,53.2,5.9,25.4,20.6,22.8,32.9,3.7,49.6,history,39.787836472919345
Q1 2002,464698,292486,54.6,5.2,139152,4385,134767,209918,35.2,,55.9,4,108.0,859.0,10.5,15.2,5.1,8.1,45.7,40,21.1,19.2,21.4,134.9,113.7,76.9,76.7,79.2,62.1,8.6,2.25,49.8,79.1,61.1,5.7,19.2,1.75,36.3,45.9,173.0,787.0,17.4,,53.3,6.8,25.4,20.6,23,33.9,3.6,50,history,40.358260524006376
Q2 2002,466935,295516,55.1,5.2,141447,4765,136682,213180,37.5,,54.8,4,100.0,697.0,11.4,15.0,3.1,8.3,46.1,41.1,25.1,12.1,21.6,127.7,121.8,77.3,77,79.5,62.8,8.7,2.25,50.6,79.2,61.5,5.8,18.1,1.75,37.2,45.3,178.0,735.0,17.8,,54.1,7.3,24.9,19.9,23.2,34.9,3.4,50.4,history,40.7763507211021
Q3 2002,470277,299230,55.1,5.3,144043,4547,139496,212814,39,,44.8,4,126.0,820.0,12.2,15.8,3.7,8.1,46.5,41.8,26.9,12.7,34.9,131.5,125.5,77.7,77.3,80,62.8,8.8,2.25,51.4,79.6,61.7,5.7,15.2,1.75,38.1,46.1,221.0,967.0,18.2,,54.9,7.4,23.6,19.9,23.3,34.9,3.6,50.9,history,41.28882167556201
Q4 2002,473899,304207,55.5,5.1,146978,5409,141569,213578,42.3,,42.8,4,136.0,885.0,13.3,15.4,7.7,8.2,46.9,42.3,26.8,19.1,30.6,126.8,128.5,77.8,77.4,79.8,63.1,8.9,2.11,52,80,61.8,5.9,15.0,1.46,39,48,223.0,979.0,18.7,,55.3,7.3,22.4,18.8,23.3,34.8,3.7,51.4,history,41.97556587059349
Q1 2003,477357,307485,55.5,5.2,148192,5266,142926,216901,43.4,,39.6,3.85,128.0,860.0,14.0,14.6,8.7,8.6,47.2,42.8,31.4,21.1,30.0,119.7,126.1,77.6,77.7,78.7,63.6,9.1,1.68,52.7,79.8,62.1,5.9,14.6,1.25,39.8,49.8,171.0,823.0,19.1,,55.3,7.5,21.6,18,23.9,35.3,3.7,51.9,history,42.4278759914119
Q2 2003,481552,312948,55.8,4.9,152204,4024,148180,217315,44.1,,43.0,3.75,109.0,700.0,14.2,14.8,11.2,8.2,47.7,43,26.1,17.4,21.5,118.8,131.7,77.6,77.3,78.8,64,9.2,1.37,53.5,79.9,62.7,6.1,15.9,1.23,40.6,49.3,135.0,666.0,19.6,,53.9,8.2,20.6,17.1,24.5,34.8,3.6,52.4,history,43.18168019825478
Q3 2003,485973,317463,55.9,5,152863,4669,148194,220719,45.5,,45.7,3.53,87.0,601.0,14.7,14.1,9.3,8.1,48.4,44,28.4,15.1,19.3,117.9,132.6,78.1,78.1,79.6,64.1,9.2,1,54.3,80.3,63.7,6.1,16.9,1,41.6,47.9,118.0,568.0,20,,57.2,8.3,20.4,17.8,25.1,36.8,4.8,53.1,history,43.80467598699643
Q4 2003,490059,320438,56.2,4.9,153470,4824,148646,224815,46.5,,47.8,3.65,76.0,474.0,15.1,13.5,7.0,8.6,49.1,45.5,29.4,27.3,17.4,117.3,142.9,78.6,78.4,79.6,64.4,9.2,1,55.2,80.7,64.4,5.8,17.9,1,42.7,48.7,103.0,460.0,20.5,,57.8,7.7,22.2,19.6,25.9,37.8,3.9,54,history,44.215177088105264
Q1 2004,492014,322778,56.2,4.8,152228,4553,147675,227116,47.4,,49.4,3.91,79.0,421.0,15.3,13.9,6.9,8.0,49.7,46.8,32,24.3,16.6,123.6,146.7,79,79.3,79.5,64.7,9.4,1,55.9,80.9,64.8,5.7,19.2,1,44.1,51.7,94.0,420.0,21,,59.5,7.3,25.4,25.7,26,39,3.7,54.9,history,44.53805862645642
Q2 2004,494824,329732,56.6,4.8,158493,4419,154074,229426,49.4,,49.7,4.22,84.0,398.0,15.3,13.8,5.4,8.2,50.3,48,35.4,20.7,16.2,123.2,144.8,79.5,79.6,80,65.5,9.4,1,56.9,81.9,65.3,5.6,19.0,1,45.6,54.3,95.0,410.0,21.5,,60.6,6.9,26.6,28.2,26.6,39.6,3.6,55.6,history,45.497596326325606
Q3 2004,496642,331592,56.6,4.7,156889,4896,151993,233954,51.2,,49.1,4.65,84.0,403.0,14.6,13.9,8.9,8.9,50.9,48.9,41.6,23.6,15.4,120.4,144.4,79.7,79.9,79.7,65.5,9.4,1,58,81.9,65.9,5.4,18.7,1.43,47,57.7,96.0,399.0,22.1,,61.2,6.6,26.8,28.8,27.3,39.8,3,56.3,history,45.75424575424575
